product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,revenue,lag_price_diff,lag_price_pct_change,cost_60pct,cost_70pct,cost_80pct,profit_60pct,profit_70pct,profit_80pct,datetime
bed1,bed_bath_table,01-05-2017,1,45.95,15.1,45.95,39,161,2,350,4,57,23,8,1,5,2017,10.26739356,3800,89.9,3.9,15.01189655,215,4.4,8.76,45.95,4,15.1,45.9,45.95,0.05,0.001089325,27.57,32.165,36.76,18.38,13.785,9.19,May-17
bed1,bed_bath_table,01-06-2017,3,137.85,12.93333333,45.95,39,161,2,350,4,61,22,8,1,6,2017,6.503115265,3800,89.9,3.9,14.76921569,209,4.4,21.322,45.95,4,12.93333333,45.95,137.85,0,0,27.57,32.165,36.76,55.14,41.355,27.57,Jun-17
bed1,bed_bath_table,01-07-2017,6,275.7,14.84,45.95,39,161,2,350,4,123,21,10,1,7,2017,12.07165109,3800,89.9,3.9,13.99383333,205,4.4,22.1959322,45.95,4,14.84,45.95,275.7,0,0,27.57,32.165,36.76,110.28,82.71,55.14,Jul-17
bed1,bed_bath_table,01-08-2017,4,183.8,14.2875,45.95,39,161,2,350,4,90,23,8,1,8,2017,9.293873313,3800,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4,14.2875,45.95,183.8,0,0,27.57,32.165,36.76,73.52,55.14,36.76,Aug-17
bed1,bed_bath_table,01-09-2017,2,91.9,15.1,45.95,39,161,2,350,4,54,21,9,1,9,2017,5.555555556,3800,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4,15.1,45.95,91.9,0,0,27.57,32.165,36.76,36.76,27.57,18.38,Sep-17
bed1,bed_bath_table,01-10-2017,3,137.85,15.1,45.95,39,161,2,350,4,50,22,9,2,10,2017,8.333333333,3800,89.9,3.9,21.57214286,45.95,4,15.1,45.95,4,15.1,45.95,137.85,0,0,27.57,32.165,36.76,55.14,41.355,27.57,Oct-17
bed1,bed_bath_table,01-11-2017,11,445.85,15.83272727,40.53181818,39,161,2,350,4,97,22,8,4,11,2017,30.55555556,3800,89.9,3.9,16.294,40.53181818,4,15.83272727,40.53181818,4,15.83272727,45.95,445.85,-5.41818182,-0.117914729,24.31909091,28.37227273,32.42545454,178.34,133.755,89.17,Nov-17
bed1,bed_bath_table,01-12-2017,6,239.94,15.23,39.99,39,161,2,350,4,41,21,10,1,12,2017,16.66666667,3800,88.48823529,3.9,18.89833333,39.99,4,15.23,39.99,4,15.23,40.53181818,239.94,-0.54181818,-0.013367725,23.994,27.993,31.992,95.976,71.982,47.988,Dec-17
bed1,bed_bath_table,01-01-2018,19,759.81,16.53368421,39.99,39,161,2,350,4,62,23,8,2,1,2018,17.75700935,3800,86.9,3.9,19.38352941,39.99,4,16.53368421,39.99,4,16.53368421,39.99,759.81,0,0,23.994,27.993,31.992,303.924,227.943,151.962,Jan-18
bed1,bed_bath_table,01-02-2018,18,719.82,13.74944444,39.99,39,161,2,350,4,62,20,8,2,2,2018,16.82242991,3800,86.9,3.9,19.20909091,39.99,4,13.74944444,39.99,4,13.74944444,39.99,719.82,0,0,23.994,27.993,31.992,287.928,215.946,143.964,Feb-18
bed1,bed_bath_table,01-03-2018,17,679.83,16.46235294,39.99,39,161,2,350,4,43,22,9,1,3,2018,15.88785047,3800,86.9,3.9,19.98235294,39.99,4,16.46235294,39.99,4,16.46235294,39.99,679.83,0,0,23.994,27.993,31.992,271.932,203.949,135.966,Mar-18
bed1,bed_bath_table,01-04-2018,13,519.87,14.23615385,39.99,39,161,2,350,4,34,21,9,1,4,2018,12.14953271,3800,85.045,3.9,12.94,39.99,4,14.23615385,39.99,4,14.23615385,39.99,519.87,0,0,23.994,27.993,31.992,207.948,155.961,103.974,Apr-18
bed1,bed_bath_table,01-05-2018,19,759.81,10.25631579,39.99,39,161,2,350,4,57,23,8,3,5,2018,10.26739356,3800,83.64961538,3.9,16.78038462,39.99,4,10.25631579,39.99,4,10.25631579,39.99,759.81,0,0,23.994,27.993,31.992,303.924,227.943,151.962,May-18
bed1,bed_bath_table,01-06-2018,5,199.95,13.998,39.99,39,161,2,350,4,43,21,9,0,6,2018,6.503115265,3800,79.9,3.9,23.00565217,39.99,4,13.998,39.99,4,13.998,39.99,199.95,0,0,23.994,27.993,31.992,79.98,59.985,39.99,Jun-18
bed1,bed_bath_table,01-07-2018,8,319.92,20.4175,39.99,39,161,2,350,4,26,22,9,1,7,2018,12.07165109,3800,77.93333333,3.9,19.952,39.99,4,20.4175,39.99,4,20.4175,39.99,319.92,0,0,23.994,27.993,31.992,127.968,95.976,63.984,Jul-18
